SL,ID,Year, Market Capitalization ,Market Cap Growth,Debt / Equity Ratio,Debt / FCF Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Total Shareholders Return,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
19,HWC,2016,"3,343,441,727",0.716,0.611,5.004,0.059,0.006,0.008,,15.311,7.313,0.54,-0.519
19,HWC,2017,"4,216,449,600",0.261,0.697,5.142,0.076,0.008,0.011,,15.308,7.381,1.302,-0.088
19,HWC,2018,"2,951,015,899",-0.3,0.589,4.552,0.109,0.012,0.013,,15.222,7.442,2.274,0.013
19,HWC,2019,"3,826,959,974",0.297,0.887,9.947,0.097,0.011,0.013,,15.23,7.492,1.551,0.029
20,WAFD,2010,"1,718,602,109",0.158,1.469,11.373,0.066,0.009,0.008,,14.688,6.887,0.183,-28.982
20,WAFD,2011,"1,405,040,022",-0.182,1.469,11.155,0.06,0.008,0.012,,14.877,6.972,0.072,-20.251
20,WAFD,2012,"1,774,194,022",0.263,1.011,13.432,0.072,0.01,0.015,,14.881,7.053,0.165,-15.307
20,WAFD,2013,"2,140,432,114",0.206,1.018,12.962,0.079,0.012,0.017,,15.2,7.115,0.085,-7.407
20,WAFD,2014,"2,026,077,493",-0.053,0.993,16.068,0.08,0.011,0.016,,15.319,7.19,0.123,-2.841
20,WAFD,2015,"2,138,093,867",0.055,0.961,18.285,0.082,0.011,0.016,,15.317,7.255,0.241,-1.759
20,WAFD,2016,"2,414,257,832",0.129,1.074,10.907,0.083,0.011,0.015,,15.311,7.313,0.54,-0.519
20,WAFD,2017,"2,975,533,890",0.232,1.138,13.465,0.086,0.012,0.015,,15.308,7.381,1.302,-0.088
20,WAFD,2018,"2,673,201,440",-0.102,1.196,14.595,0.102,0.013,0.015,,15.222,7.442,2.274,0.013
20,WAFD,2019,"2,937,056,306",0.099,1.135,10.779,0.105,0.013,0.014,,15.23,7.492,1.551,0.029
21,CMA,2010,"7,455,006,705",0.668,1.082,4.874,0.026,0.003,0.006,,14.688,6.887,0.183,-28.982
21,CMA,2011,"5,126,006,359",-0.312,0.73,7.428,0.06,0.007,0.009,,14.877,6.972,0.072,-20.251
21,CMA,2012,"5,775,040,237",0.127,0.696,7.828,0.073,0.008,0.012,,14.881,7.053,0.165,-15.307
21,CMA,2013,"8,695,574,155",0.506,0.531,5.172,0.076,0.008,0.013,,15.2,7.115,0.085,-7.407
21,CMA,2014,"8,416,519,314",-0.032,0.377,4.905,0.079,0.009,0.013,,15.319,7.19,0.123,-2.841
21,CMA,2015,"7,392,817,311",-0.122,0.408,4.13,0.068,0.007,0.011,,15.317,7.255,0.241,-1.759
21,CMA,2016,"11,732,831,636",0.587,0.665,13.261,0.061,0.007,0.009,,15.311,7.313,0.54,-0.519
21,CMA,2017,"15,097,564,449",0.287,0.582,4.559,0.093,0.01,0.017,,15.308,7.381,1.302,-0.088
21,CMA,2018,"11,107,057,189",-0.264,0.867,4.264,0.156,0.017,0.021,,15.222,7.442,2.274,0.013
21,CMA,2019,"10,343,073,464",-0.069,1.002,7.311,0.163,0.017,0.02,,15.23,7.492,1.551,0.029
22,FHN,2010,"2,742,871,492",-0.064,2.318,7.614,-0.02,-0.002,0.001,,14.688,6.887,0.183,-28.982
22,FHN,2011,"2,108,952,320",-0.231,1.901,530.212,0.055,0.005,0.005,,14.877,6.972,0.072,-20.251
22,FHN,2012,"2,449,097,672",0.161,2.066,12.811,-0.012,-0.001,-0.004,,14.881,7.053,0.165,-15.307
22,FHN,2013,"2,753,222,248",0.124,1.545,8.415,0.009,0.001,0,,15.2,7.115,0.085,-7.407
22,FHN,2014,"3,194,675,499",0.16,1.591,5.373,0.094,0.009,0.012,,15.319,7.19,0.123,-2.841
22,FHN,2015,"3,401,127,614",0.065,0.961,6.112,0.035,0.003,0.004,,15.317,7.255,0.241,-1.759
22,FHN,2016,"4,667,024,186",0.372,0.826,15.455,0.092,0.008,0.012,,15.311,7.313,0.54,-0.519
22,FHN,2017,"4,682,267,995",0.003,1.144,-62.487,0.054,0.005,0.009,,15.308,7.381,1.302,-0.088
22,FHN,2018,"4,263,087,459",-0.09,0.513,10.671,0.123,0.013,0.017,,15.222,7.442,2.274,0.013
22,FHN,2019,"5,153,135,948",0.209,0.901,5.38,0.093,0.01,0.013,,15.23,7.492,1.551,0.029
23,FULT,2010,"2,057,153,340",0.338,0.954,6.884,0.056,0.007,0.01,,14.688,6.887,0.183,-28.982
23,FULT,2011,"1,962,127,530",-0.046,0.822,4.734,0.074,0.009,0.012,,14.877,6.972,0.072,-20.251
23,FULT,2012,"1,913,437,490",-0.025,0.847,6.872,0.078,0.01,0.013,,14.881,7.053,0.165,-15.307
23,FULT,2013,"2,518,208,250",0.316,1.038,7.722,0.079,0.01,0.012,,15.2,7.115,0.085,-7.407
23,FULT,2014,"2,289,875,400",-0.091,0.736,7.892,0.077,0.009,0.012,,15.319,7.19,0.123,-2.841
23,FULT,2015,"2,264,143,310",-0.011,0.709,9.62,0.074,0.008,0.011,,15.317,7.255,0.241,-1.759
23,FULT,2016,"3,257,494,800",0.439,0.693,7.126,0.077,0.009,0.011,,15.311,7.313,0.54,-0.519
23,FULT,2017,"3,134,683,800",-0.038,0.743,6.502,0.078,0.009,0.012,,15.308,7.381,1.302,-0.088
23,FULT,2018,"2,725,966,080",-0.13,0.777,6.8,0.092,0.01,0.011,,15.222,7.442,2.274,0.013
23,FULT,2019,"2,860,646,460",0.049,0.754,18.778,0.098,0.011,0.012,,15.23,7.492,1.551,0.029
24,WBS,2010,"1,546,600,193",0.831,1.38,7.657,0.026,0.003,0.004,,14.688,6.887,0.183,-28.982
24,WBS,2011,"1,784,196,059",0.154,1.609,12.316,0.081,0.008,0.011,,14.877,6.972,0.072,-20.251
24,WBS,2012,"1,806,807,827",0.013,1.547,13.693,0.087,0.009,0.011,,14.881,7.053,0.165,-15.307
24,WBS,2013,"2,816,908,241",0.559,1.635,8.148,0.078,0.008,0.011,,15.2,7.115,0.085,-7.407
24,WBS,2014,"2,935,700,656",0.042,1.867,20.028,0.082,0.009,0.012,,15.319,7.19,0.123,-2.841
24,WBS,2015,"3,409,518,246",0.161,1.674,15.116,0.082,0.008,0.011,,15.317,7.255,0.241,-1.759
24,WBS,2016,"4,978,907,689",0.46,1.59,11.193,0.08,0.008,0.011,,15.311,7.313,0.54,-0.519
24,WBS,2017,"5,170,920,206",0.039,0.942,6.065,0.094,0.009,0.013,,15.308,7.381,1.302,-0.088
24,WBS,2018,"4,546,343,345",-0.121,0.913,6.029,0.126,0.013,0.015,,15.222,7.442,2.274,0.013
24,WBS,2019,"4,910,822,931",0.08,1.155,13.316,0.121,0.013,0.015,,15.23,7.492,1.551,0.029
25,TCBI,2010,"785,243,904",0.571,0.778,-1.009,0.072,0.006,0.009,,14.688,6.887,0.183,-28.982
25,TCBI,2011,"1,146,760,612",0.46,3.053,25.928,0.131,0.011,0.015,,14.877,6.972,0.072,-20.251
25,TCBI,2012,"1,819,133,184",0.586,2.597,25.329,0.163,0.013,0.017,,14.881,7.053,0.165,-15.307
25,TCBI,2013,"2,549,096,759",0.401,1.14,6.672,0.108,0.01,0.016,,15.2,7.115,0.085,-7.407
25,TCBI,2014,"2,346,374,593",-0.08,1.073,11.212,0.096,0.009,0.015,,15.319,7.19,0.123,-2.841
25,TCBI,2015,"2,265,628,321",-0.034,1.255,31.876,0.086,0.007,0.012,,15.317,7.255,0.241,-1.759
25,TCBI,2016,"3,607,440,290",0.592,1.246,-3.437,0.082,0.007,0.012,,15.311,7.313,0.54,-0.519
25,TCBI,2017,"4,411,799,850",0.223,1.616,29.691,0.088,0.008,0.014,,15.308,7.381,1.302,-0.088
25,TCBI,2018,"2,563,777,178",-0.419,1.974,-7.182,0.119,0.011,0.013,,15.222,7.442,2.274,0.013
25,TCBI,2019,"2,856,697,794",0.114,1.049,-11.436,0.112,0.01,0.013,,15.23,7.492,1.551,0.029
26,VLY,2010,"2,306,385,052",0.104,2.563,12.338,0.102,0.009,0.011,,14.688,6.887,0.183,-28.982
26,VLY,2011,"2,105,439,858",-0.087,2.495,17.411,0.102,0.009,0.012,,14.877,6.972,0.072,-20.251
26,VLY,2012,"1,837,861,610",-0.127,2.026,9.82,0.096,0.009,0.012,,14.881,7.053,0.165,-15.307
26,VLY,2013,"2,020,221,647",0.099,2.025,10.812,0.087,0.008,0.01,,15.2,7.115,0.085,-7.407
26,VLY,2014,"2,247,790,796",0.113,1.459,13.224,0.071,0.007,0.008,,15.319,7.19,0.123,-2.841
26,VLY,2015,"2,293,743,496",0.02,1.327,20.236,0.049,0.005,0.006,,15.317,7.255,0.241,-1.759
26,VLY,2016,"2,962,725,883",0.292,1.075,6.101,0.071,0.007,0.01,,15.311,7.313,0.54,-0.519
26,VLY,2017,"2,966,233,453",0.001,1.226,5.088,0.062,0.006,0.01,,15.308,7.381,1.302,-0.088
26,VLY,2018,"2,943,645,586",-0.008,1.144,13.43,0.076,0.008,0.01,,15.222,7.442,2.274,0.013
26,VLY,2019,"3,799,116,881",0.291,0.817,10.303,0.08,0.009,0.012,,15.23,7.492,1.551,0.029
27,FCNCA,2010,"1,972,633,340",0.153,0.783,54.715,0.113,0.009,0.014,,14.688,6.887,0.183,-28.982
27,FCNCA,2011,"1,804,015,832",-0.085,0.7,5.034,0.106,0.009,0.015,,14.877,6.972,0.072,-20.251
27,FCNCA,2012,"1,675,704,796",-0.071,0.544,9.016,0.069,0.006,0.009,,14.881,7.053,0.165,-15.307
27,FCNCA,2013,"2,141,464,835",0.278,0.493,3.858,0.084,0.008,0.013,,15.2,7.115,0.085,-7.407
27,FCNCA,2014,"2,431,572,095",0.135,0.498,13.448,0.061,0.006,0.009,,15.319,7.19,0.123,-2.841
27,FCNCA,2015,"3,100,726,259",0.275,0.452,9.063,0.075,0.007,0.011,,15.317,7.255,0.241,-1.759
27,FCNCA,2016,"4,263,693,775",0.375,0.477,9.662,0.075,0.007,0.011,,15.311,7.313,0.54,-0.519
27,FCNCA,2017,"4,840,193,215",0.135,0.469,5.718,0.1,0.009,0.016,,15.308,7.381,1.302,-0.088
27,FCNCA,2018,"4,453,113,205",-0.08,0.256,2.832,0.116,0.011,0.015,,15.222,7.442,2.274,0.013
27,FCNCA,2019,"5,714,820,420",0.283,0.37,2.902,0.128,0.012,0.016,,15.23,7.492,1.551,0.029
28,EWBC,2010,"2,893,495,580",0.996,1.262,3.427,0.053,0.006,0.012,,14.688,6.887,0.183,-28.982
28,EWBC,2011,"2,943,770,324",0.017,0.816,7.426,0.106,0.011,0.017,,14.877,6.972,0.072,-20.251
28,EWBC,2012,"3,015,415,038",0.024,0.627,5.044,0.118,0.013,0.02,,14.881,7.053,0.165,-15.307
28,EWBC,2013,"4,817,732,378",0.598,0.65,4.551,0.125,0.012,0.019,,15.2,7.115,0.085,-7.407
28,EWBC,2014,"5,556,934,501",0.153,0.469,3.406,0.126,0.012,0.016,,15.319,7.19,0.123,-2.841
28,EWBC,2015,"5,980,522,194",0.076,0.392,2.606,0.127,0.012,0.02,,15.317,7.255,0.241,-1.759
28,EWBC,2016,"7,327,864,049",0.225,0.268,1.421,0.13,0.013,0.018,,15.311,7.313,0.54,-0.519
28,EWBC,2017,"8,792,545,276",0.2,0.142,0.674,0.136,0.014,0.022,,15.308,7.381,1.302,-0.088
28,EWBC,2018,"6,310,081,289",-0.282,0.131,0.667,0.168,0.018,0.023,,15.222,7.442,2.274,0.013
28,EWBC,2019,"7,091,956,250",0.124,0.206,1.43,0.14,0.016,0.021,,15.23,7.492,1.551,0.029
29,ABCB,2010,"249,008,185",1.541,0.563,3.707,-0.028,-0.003,-0.003,,14.688,6.887,0.183,-28.982
29,ABCB,2011,"244,168,442",-0.019,0.34,2.83,0.063,0.006,0.012,,14.877,6.972,0.072,-20.251
29,ABCB,2012,"297,501,109",0.218,0.331,-5.668,0.037,0.004,0.008,,14.881,7.053,0.165,-15.307
29,ABCB,2013,"504,645,295",0.696,1.053,18.198,0.062,0.006,0.01,,15.2,7.115,0.085,-7.407
29,ABCB,2014,"722,037,733",0.431,0.594,-21.553,0.113,0.01,0.014,,15.319,7.19,0.123,-2.841
29,ABCB,2015,"1,094,346,017",0.516,0.335,-4.592,0.082,0.008,0.012,,15.317,7.255,0.241,-1.759
29,ABCB,2016,"1,522,510,866",0.391,0.975,-7.832,0.115,0.011,0.016,,15.311,7.313,0.54,-0.519
29,ABCB,2017,"1,794,536,562",0.179,0.456,-5.531,0.093,0.01,0.016,,15.308,7.381,1.302,-0.088
29,ABCB,2018,"1,504,353,915",-0.162,0.179,-2.211,0.095,0.012,0.015,,15.222,7.442,2.274,0.013
29,ABCB,2019,"2,963,376,941",0.97,0.626,-1.635,0.082,0.011,0.015,,15.23,7.492,1.551,0.029
30,HTLF,2010,"286,205,909",0.222,1.818,7.249,0.057,0.005,0.007,,14.688,6.887,0.183,-28.982
30,HTLF,2011,"252,497,750",-0.118,1.836,12.42,0.059,0.005,0.008,,14.877,6.972,0.072,-20.251
30,HTLF,2012,"431,739,037",0.71,1.527,20.893,0.121,0.01,0.013,,14.881,7.053,0.165,-15.307
30,HTLF,2013,"528,569,544",0.224,1.727,6.059,0.087,0.007,0.008,,15.2,7.115,0.085,-7.407
30,HTLF,2014,"500,804,450",-0.053,1.463,9.791,0.086,0.007,0.009,,15.319,7.19,0.123,-2.841
30,HTLF,2015,"647,186,387",0.292,0.84,5.85,0.099,0.009,0.011,,15.317,7.255,0.241,-1.759
30,HTLF,2016,"1,251,001,968",0.933,0.803,4.276,0.114,0.01,0.014,,15.311,7.313,0.54,-0.519
30,HTLF,2017,"1,606,767,606",0.284,0.615,3.993,0.085,0.008,0.013,,15.308,7.381,1.302,-0.088
30,HTLF,2018,"1,515,103,820",-0.057,0.379,2.154,0.095,0.011,0.014,,15.222,7.442,2.274,0.013
30,HTLF,2019,"1,825,380,654",0.205,0.29,3.18,0.099,0.012,0.016,,15.23,7.492,1.551,0.029
31,BANR,2010,"259,979,970",3.73,0.524,2.383,-0.14,-0.015,-0.01,,14.688,6.887,0.183,-28.982
31,BANR,2011,"295,200,034",0.135,0.399,2.176,-0.005,-0.001,0.001,,14.877,6.972,0.072,-20.251
31,BANR,2012,"597,851,074",1.025,0.316,2.111,0.107,0.014,0.01,,14.881,7.053,0.165,-15.307
31,BANR,2013,"875,951,727",0.465,0.342,2.114,0.088,0.011,0.016,,15.2,7.115,0.085,-7.407
31,BANR,2014,"841,975,093",-0.039,0.322,2.034,0.095,0.012,0.017,,15.319,7.19,0.123,-2.841
31,BANR,2015,"1,505,268,421",0.788,0.249,78.211,0.055,0.007,0.011,,15.317,7.255,0.241,-1.759
31,BANR,2016,"1,870,360,642",0.243,0.195,-2.771,0.064,0.009,0.013,,15.311,7.313,0.54,-0.519
31,BANR,2017,"1,813,806,390",-0.03,0.153,0.582,0.046,0.006,0.015,,15.308,7.381,1.302,-0.088
31,BANR,2018,"1,732,737,133",-0.045,0.523,100.674,0.104,0.013,0.015,,15.222,7.442,2.274,0.013
31,BANR,2019,"1,933,870,103",0.116,0.431,5.506,0.095,0.012,0.015,,15.23,7.492,1.551,0.029
32,WSFS,2010,"403,089,900",1.222,2.033,13.293,0.033,0.003,0.005,,14.688,6.887,0.183,-28.982
32,WSFS,2011,"309,719,021",-0.232,1.845,10.852,0.052,0.005,0.008,,14.877,6.972,0.072,-20.251
32,WSFS,2012,"369,075,720",0.192,1.514,6.714,0.07,0.007,0.011,,14.881,7.053,0.165,-15.307
32,WSFS,2013,"686,169,031",0.859,2.36,16.579,0.115,0.01,0.015,,15.2,7.115,0.085,-7.407
32,WSFS,2014,"722,663,121",0.053,1.365,10.58,0.119,0.011,0.014,,15.319,7.19,0.123,-2.841
32,WSFS,2015,"966,050,037",0.337,1.607,14.176,0.102,0.01,0.015,,15.317,7.255,0.241,-1.759
32,WSFS,2016,"1,451,887,423",0.503,1.844,18.027,0.099,0.01,0.015,,15.311,7.313,0.54,-0.519
32,WSFS,2017,"1,502,005,854",0.035,1.295,7.659,0.069,0.007,0.016,,15.308,7.381,1.302,-0.088
32,WSFS,2018,"1,189,215,774",-0.208,0.852,5.372,0.172,0.019,0.024,,15.222,7.442,2.274,0.013
32,WSFS,2019,"2,294,022,809",0.929,0.264,6.46,0.081,0.012,0.017,,15.23,7.492,1.551,0.029
33,COLB,2010,"828,402,787",0.822,0.242,1.988,0.038,0.006,0.007,,14.688,6.887,0.183,-28.982
33,COLB,2011,"761,209,572",-0.081,0.19,2.019,0.065,0.011,0.016,,14.877,6.972,0.072,-20.251
33,COLB,2012,"712,000,567",-0.065,0.041,0.269,0.061,0.01,0.015,,14.881,7.053,0.165,-15.307
33,COLB,2013,"1,409,402,816",0.98,0.058,0.926,0.062,0.009,0.014,,15.2,7.115,0.085,-7.407
33,COLB,2014,"1,469,675,303",0.043,0.269,2.578,0.073,0.011,0.016,,15.319,7.19,0.123,-2.841
33,COLB,2015,"1,876,820,180",0.277,0.135,1.183,0.079,0.011,0.017,,15.317,7.255,0.241,-1.759
33,COLB,2016,"2,593,325,809",0.382,0.07,0.578,0.083,0.011,0.017,,15.311,7.313,0.54,-0.519
33,COLB,2017,"2,535,730,288",-0.022,0.069,1.001,0.077,0.011,0.018,,15.308,7.381,1.302,-0.088
33,COLB,2018,"2,658,524,655",0.048,0.244,2.051,0.087,0.014,0.018,,15.222,7.442,2.274,0.013
33,COLB,2019,"2,934,863,006",0.104,0.488,5.139,0.091,0.014,0.018,,15.23,7.492,1.551,0.029
34,UCBI,2010,"184,266,674",-0.421,0.654,2.633,-0.692,-0.069,-0.06,,14.688,6.887,0.183,-28.982
34,UCBI,2011,"402,105,377",1.182,0.458,1.812,-0.407,-0.033,-0.033,,14.877,6.972,0.072,-20.251
34,UCBI,2012,"544,882,077",0.355,0.374,1.208,0.037,0.003,0.005,,14.881,7.053,0.165,-15.307
34,UCBI,2013,"1,054,691,616",0.936,0.381,1.618,0.34,0.036,0.005,,15.2,7.115,0.085,-7.407
34,UCBI,2014,"1,141,188,581",0.082,0.549,4.17,0.093,0.009,0.014,,15.319,7.19,0.123,-2.841
34,UCBI,2015,"1,393,132,921",0.221,0.6,5.631,0.079,0.008,0.013,,15.317,7.255,0.241,-1.759
34,UCBI,2016,"2,098,983,683",0.507,0.827,6.968,0.095,0.01,0.015,,15.311,7.313,0.54,-0.519
34,UCBI,2017,"2,065,637,270",-0.016,0.518,3.574,0.057,0.006,0.015,,15.308,7.381,1.302,-0.088
34,UCBI,2018,"1,699,790,117",-0.177,0.293,1.65,0.118,0.013,0.017,,15.222,7.442,2.274,0.013
34,UCBI,2019,"2,438,961,968",0.435,0.13,1.524,0.117,0.014,0.019,,15.23,7.492,1.551,0.029
35,SIVB,2010,"2,227,703,133",0.61,0.978,9.154,0.077,0.006,0.012,,14.688,6.887,0.183,-28.982
35,SIVB,2011,"2,067,015,700",-0.072,0.385,4.454,0.117,0.009,0.016,,14.877,6.972,0.072,-20.251
35,SIVB,2012,"2,491,623,934",0.205,0.341,3.855,0.1,0.008,0.013,,14.881,7.053,0.165,-15.307
35,SIVB,2013,"4,788,587,303",0.922,0.234,3.247,0.112,0.009,0.016,,15.2,7.115,0.085,-7.407
35,SIVB,2014,"5,902,075,697",0.233,0.163,2.157,0.102,0.008,0.014,,15.319,7.19,0.123,-2.841
35,SIVB,2015,"6,122,542,788",0.037,0.491,5.509,0.111,0.008,0.014,,15.317,7.255,0.241,-1.759
35,SIVB,2016,"8,941,505,215",0.46,0.359,3.127,0.108,0.009,0.015,,15.311,7.313,0.54,-0.519
35,SIVB,2017,"12,329,200,218",0.379,0.414,2.901,0.123,0.01,0.018,,15.308,7.381,1.302,-0.088
35,SIVB,2018,"10,113,402,192",-0.18,0.26,1.496,0.204,0.017,0.024,,15.222,7.442,2.274,0.013
35,SIVB,2019,"12,945,633,230",0.28,0.09,0.532,0.196,0.017,0.026,,15.23,7.492,1.551,0.029
36,UBSI,2010,"1,273,293,944",0.468,0.731,5.942,0.092,0.01,0.014,,14.688,6.887,0.183,-28.982
36,UBSI,2011,"1,419,314,885",0.115,0.619,5.427,0.085,0.01,0.015,,14.877,6.972,0.072,-20.251
36,UBSI,2012,"1,223,700,753",-0.138,0.605,4.743,0.084,0.01,0.015,,14.881,7.053,0.165,-15.307
36,UBSI,2013,"1,585,541,560",0.296,0.966,7.378,0.084,0.01,0.015,,15.2,7.115,0.085,-7.407
36,UBSI,2014,"2,591,705,679",0.635,0.93,9.934,0.079,0.011,0.016,,15.319,7.19,0.123,-2.841
36,UBSI,2015,"2,573,512,150",-0.007,0.84,8.435,0.081,0.011,0.017,,15.317,7.255,0.241,-1.759
36,UBSI,2016,"3,536,037,182",0.374,0.618,8.423,0.073,0.011,0.016,,15.311,7.313,0.54,-0.519
36,UBSI,2017,"3,648,486,699",0.032,0.568,7.686,0.05,0.008,0.017,,15.308,7.381,1.302,-0.088
36,UBSI,2018,"3,210,052,778",-0.12,0.569,6.238,0.079,0.013,0.018,,15.222,7.442,2.274,0.013
36,UBSI,2019,"3,925,774,275",0.223,0.676,16.113,0.078,0.013,0.017,,15.23,7.492,1.551,0.029
37,UMPQ,2010,"1,395,006,374",0.199,0.317,3.414,0.01,0.001,0.003,,14.688,6.887,0.183,-28.982
37,UMPQ,2011,"1,419,139,511",0.017,0.338,3.789,0.044,0.006,0.01,,14.877,6.972,0.072,-20.251
37,UMPQ,2012,"1,319,607,186",-0.07,0.34,153.317,0.059,0.009,0.014,,14.881,7.053,0.165,-15.307
37,UMPQ,2013,"2,142,324,926",0.623,0.385,1.735,0.056,0.008,0.014,,15.2,7.115,0.085,-7.407
37,UMPQ,2014,"3,695,658,582",0.725,0.442,5.605,0.045,0.007,0.013,,15.319,7.19,0.123,-2.841
37,UMPQ,2015,"3,501,450,745",-0.053,0.403,5.042,0.058,0.01,0.016,,15.317,7.255,0.241,-1.759
37,UMPQ,2016,"4,135,512,043",0.181,0.4,4.076,0.059,0.009,0.016,,15.311,7.313,0.54,-0.519
37,UMPQ,2017,"4,580,820,421",0.108,0.371,2.884,0.061,0.01,0.014,,15.308,7.381,1.302,-0.088
37,UMPQ,2018,"3,501,816,938",-0.236,0.355,2.899,0.079,0.012,0.017,,15.222,7.442,2.274,0.013
37,UMPQ,2019,"3,897,832,740",0.113,0.394,-18.256,0.084,0.013,0.017,,15.23,7.492,1.551,0.029
38,WAL,2010,"599,952,152",1.19,0.374,130.898,-0.029,-0.003,-0.002,,14.688,6.887,0.183,-28.982
38,WAL,2011,"512,975,378",-0.145,0.807,3.58,0.025,0.002,0.007,,14.877,6.972,0.072,-20.251
