SL,ID,Year, Market Capitalization ,Market Cap Growth,Debt / Equity Ratio,Debt / FCF Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Total Shareholders Return,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
38,WAL,2012,"910,023,302",0.774,0.407,2.033,0.099,0.009,0.013,,14.881,7.053,0.165,-15.307
38,WAL,2013,"2,080,562,628",1.286,0.531,3.107,0.139,0.013,0.017,,15.2,7.115,0.085,-7.407
38,WAL,2014,"2,448,671,288",0.177,0.485,3.164,0.152,0.014,0.019,,15.319,7.19,0.123,-2.841
38,WAL,2015,"3,668,738,953",0.498,0.25,1.902,0.135,0.015,0.02,,15.317,7.255,0.241,-1.759
38,WAL,2016,"5,117,954,488",0.395,0.259,1.813,0.144,0.016,0.022,,15.311,7.313,0.54,-0.519
38,WAL,2017,"5,972,848,273",0.167,0.356,2.115,0.155,0.017,0.024,,15.308,7.381,1.302,-0.088
38,WAL,2018,"4,180,364,328",-0.3,0.334,1.621,0.178,0.02,0.024,,15.222,7.442,2.274,0.013
38,WAL,2019,"5,850,330,888",0.399,0.162,0.714,0.173,0.02,0.024,,15.23,7.492,1.551,0.029
39,WSBC,2010,"504,088,629",0.538,0.901,5.396,0.059,0.007,0.007,,14.688,6.887,0.183,-28.982
39,WSBC,2011,"518,473,639",0.029,0.743,4.437,0.07,0.008,0.01,,14.877,6.972,0.072,-20.251
39,WSBC,2012,"592,507,832",0.143,0.515,5.194,0.074,0.009,0.011,,14.881,7.053,0.165,-15.307
39,WSBC,2013,"939,201,952",0.585,0.397,2.886,0.087,0.01,0.014,,15.2,7.115,0.085,-7.407
39,WSBC,2014,"1,019,071,890",0.085,0.52,4.689,0.09,0.011,0.015,,15.319,7.19,0.123,-2.841
39,WSBC,2015,"1,156,130,600",0.134,1.096,15.598,0.073,0.01,0.012,,15.317,7.255,0.241,-1.759
39,WSBC,2016,"1,888,649,622",0.634,0.993,11.006,0.069,0.009,0.012,,15.311,7.313,0.54,-0.519
39,WSBC,2017,"1,789,952,304",-0.052,0.93,9.536,0.068,0.01,0.014,,15.308,7.381,1.302,-0.088
39,WSBC,2018,"2,003,207,444",0.119,0.775,8.196,0.084,0.012,0.014,,15.222,7.442,2.274,0.013
39,WSBC,2019,"2,066,781,393",0.032,0.732,12.555,0.072,0.012,0.014,,15.23,7.492,1.551,0.029
40,SASR,2010,"442,523,264",2.022,1.318,10.132,0.038,0.005,0.008,,14.688,6.887,0.183,-28.982
40,SASR,2011,"422,667,882",-0.045,1.309,9.167,0.079,0.009,0.013,,14.877,6.972,0.072,-20.251
40,SASR,2012,"483,579,284",0.144,1.09,10.886,0.077,0.01,0.013,,14.881,7.053,0.165,-15.307
40,SASR,2013,"704,381,810",0.457,1.409,7.506,0.09,0.011,0.015,,15.2,7.115,0.085,-7.407
40,SASR,2014,"653,066,411",-0.073,1.465,16.95,0.074,0.009,0.012,,15.319,7.19,0.123,-2.841
40,SASR,2015,"656,788,251",0.006,1.581,19.46,0.087,0.01,0.013,,15.317,7.255,0.241,-1.759
40,SASR,2016,"955,346,104",0.455,1.771,11.158,0.091,0.01,0.013,,15.311,7.313,0.54,-0.519
40,SASR,2017,"936,228,789",-0.02,1.57,14.283,0.096,0.01,0.015,,15.308,7.381,1.302,-0.088
40,SASR,2018,"1,113,312,852",0.189,1.136,8.842,0.097,0.012,0.015,,15.222,7.442,2.274,0.013
40,SASR,2019,"1,349,711,598",0.212,0.827,9.882,0.104,0.014,0.018,,15.23,7.492,1.551,0.029
41,GBCI,2010,"1,086,636,753",0.285,1.622,7.938,0.05,0.007,0.007,,14.688,6.887,0.183,-28.982
41,GBCI,2011,"865,138,328",-0.204,1.721,8.639,0.021,0.002,0.002,,14.877,6.972,0.072,-20.251
41,GBCI,2012,"1,058,196,536",0.223,1.578,8.216,0.086,0.01,0.011,,14.881,7.053,0.165,-15.307
41,GBCI,2013,"2,214,051,367",1.092,1.337,3.96,0.102,0.012,0.014,,15.2,7.115,0.085,-7.407
41,GBCI,2014,"2,083,419,035",-0.059,0.805,4.913,0.111,0.014,0.017,,15.319,7.19,0.123,-2.841
41,GBCI,2015,"2,018,569,221",-0.031,0.882,5.992,0.109,0.013,0.016,,15.317,7.255,0.241,-1.759
41,GBCI,2016,"2,772,515,314",0.374,0.766,4.632,0.108,0.013,0.016,,15.311,7.313,0.54,-0.519
41,GBCI,2017,"3,072,693,997",0.108,0.71,3.479,0.098,0.012,0.018,,15.308,7.381,1.302,-0.088
41,GBCI,2018,"3,348,749,437",0.09,0.65,3.759,0.123,0.015,0.018,,15.222,7.442,2.274,0.013
41,GBCI,2019,"4,239,700,963",0.266,0.396,3.696,0.118,0.016,0.02,,15.23,7.492,1.551,0.029
42,CVBF,2010,"918,309,719",0.001,1.883,12.579,0.096,0.009,0.011,,14.688,6.887,0.183,-28.982
42,CVBF,2011,"1,047,978,241",0.141,1.501,8.349,0.119,0.013,0.017,,14.877,6.972,0.072,-20.251
42,CVBF,2012,"1,090,184,046",0.04,1.003,5.084,0.103,0.012,0.017,,14.881,7.053,0.165,-15.307
42,CVBF,2013,"1,796,440,552",0.648,1.214,8.566,0.125,0.015,0.021,,15.2,7.115,0.085,-7.407
42,CVBF,2014,"1,695,314,145",-0.056,0.951,9.655,0.123,0.014,0.021,,15.319,7.19,0.123,-2.841
42,CVBF,2015,"1,799,688,152",0.062,0.826,7.283,0.109,0.013,0.019,,15.317,7.255,0.241,-1.759
42,CVBF,2016,"2,479,558,319",0.378,0.688,6.092,0.103,0.013,0.02,,15.311,7.313,0.54,-0.519
42,CVBF,2017,"2,595,290,815",0.047,0.542,4.214,0.098,0.012,0.022,,15.308,7.381,1.302,-0.088
42,CVBF,2018,"2,838,944,176",0.094,0.404,4.653,0.104,0.015,0.022,,15.222,7.442,2.274,0.013
42,CVBF,2019,"3,023,507,938",0.065,0.228,2.18,0.107,0.018,0.027,,15.23,7.492,1.551,0.029
43,PPBI,2010,"65,019,257",1.002,1.003,8.854,0.055,0.005,0.008,,14.688,6.887,0.183,-28.982
43,PPBI,2011,"63,480,049",-0.024,0.447,4.23,0.127,0.011,0.018,,14.877,6.972,0.072,-20.251
43,PPBI,2012,"105,978,204",0.669,0.935,16.459,0.15,0.015,0.024,,14.881,7.053,0.165,-15.307
43,PPBI,2013,"262,039,378",1.473,1.224,17.982,0.053,0.006,0.009,,15.2,7.115,0.085,-7.407
43,PPBI,2014,"292,776,763",0.117,0.937,15.924,0.085,0.009,0.014,,15.319,7.19,0.123,-2.841
43,PPBI,2015,"457,101,908",0.561,0.888,11.396,0.089,0.009,0.014,,15.317,7.255,0.241,-1.759
43,PPBI,2016,"977,658,442",1.139,0.864,6.458,0.09,0.011,0.018,,15.311,7.313,0.54,-0.519
43,PPBI,2017,"1,848,782,360",0.891,0.516,9.837,0.066,0.01,0.016,,15.308,7.381,1.302,-0.088
43,PPBI,2018,"1,594,308,331",-0.138,0.395,4.178,0.077,0.013,0.017,,15.222,7.442,2.274,0.013
43,PPBI,2019,"1,935,557,645",0.214,0.364,4.099,0.08,0.014,0.019,,15.23,7.492,1.551,0.029
44,HOMB,2010,"626,575,454",0.014,0.621,7.371,0.031,0.004,0.007,,14.688,6.887,0.183,-28.982
44,HOMB,2011,"732,428,699",0.169,0.526,3.131,0.11,0.014,0.023,,14.877,6.972,0.072,-20.251
44,HOMB,2012,"924,333,549",0.262,0.438,2.165,0.126,0.015,0.025,,14.881,7.053,0.165,-15.307
44,HOMB,2013,"2,429,330,017",1.628,0.681,5.706,0.109,0.014,0.022,,15.2,7.115,0.085,-7.407
44,HOMB,2014,"2,171,777,664",-0.106,0.921,3.812,0.121,0.016,0.024,,15.319,7.19,0.123,-2.841
44,HOMB,2015,"2,840,720,242",0.308,1.33,8.2,0.126,0.017,0.024,,15.317,7.255,0.241,-1.759
44,HOMB,2016,"3,900,060,150",0.373,1.12,8.616,0.138,0.018,0.027,,15.311,7.313,0.54,-0.519
44,HOMB,2017,"4,037,215,351",0.035,0.823,13.456,0.074,0.011,0.021,,15.308,7.381,1.302,-0.088
44,HOMB,2018,"2,825,714,762",-0.3,0.845,6.707,0.13,0.02,0.026,,15.222,7.442,2.274,0.013
44,HOMB,2019,"3,280,018,035",0.161,0.454,4.902,0.119,0.019,0.026,,15.23,7.492,1.551,0.029
45,AUB,2010,"383,618,048",0.689,0.72,7.092,0.05,0.005,0.008,,14.688,6.887,0.183,-28.982
45,AUB,2011,"346,304,188",-0.097,0.661,4.284,0.063,0.007,0.01,,14.877,6.972,0.072,-20.251
45,AUB,2012,"409,474,736",0.182,0.756,-13.459,0.081,0.009,0.012,,14.881,7.053,0.165,-15.307
45,AUB,2013,"618,362,157",0.51,1.057,3.054,0.079,0.008,0.011,,15.2,7.115,0.085,-7.407
45,AUB,2014,"1,094,529,840",0.77,0.703,5.753,0.053,0.007,0.01,,15.319,7.19,0.123,-2.841
45,AUB,2015,"1,133,871,714",0.036,0.683,6.354,0.068,0.009,0.012,,15.317,7.255,0.241,-1.759
45,AUB,2016,"1,556,770,676",0.373,0.989,11.315,0.078,0.01,0.012,,15.311,7.313,0.54,-0.519
45,AUB,2017,"1,581,789,406",0.016,1.165,12.065,0.071,0.008,0.011,,15.308,7.381,1.302,-0.088
45,AUB,2018,"1,862,724,763",0.178,0.913,8.039,0.078,0.011,0.013,,15.222,7.442,2.274,0.013
45,AUB,2019,"3,028,373,254",0.626,0.602,8.461,0.077,0.011,0.013,,15.23,7.492,1.551,0.029
46,CATY,2010,"1,311,385,185",1.809,1.628,14.21,-0.003,0,0,,14.688,6.887,0.183,-28.982
46,CATY,2011,"1,174,195,410",-0.105,1.23,10.827,0.057,0.008,0.013,,14.877,6.972,0.072,-20.251
46,CATY,2012,"1,538,019,490",0.31,1.004,10.078,0.064,0.009,0.016,,14.881,7.053,0.165,-15.307
46,CATY,2013,"2,113,284,385",0.374,1.024,13.716,0.076,0.011,0.017,,15.2,7.115,0.085,-7.407
46,CATY,2014,"2,039,631,962",-0.035,0.655,7.225,0.089,0.012,0.019,,15.319,7.19,0.123,-2.841
46,CATY,2015,"2,537,826,778",0.244,0.488,4.909,0.095,0.013,0.018,,15.317,7.255,0.241,-1.759
46,CATY,2016,"3,000,189,172",0.182,0.464,3.677,0.098,0.013,0.018,,15.311,7.313,0.54,-0.519
46,CATY,2017,"3,408,178,008",0.136,0.383,3.005,0.091,0.012,0.02,,15.308,7.381,1.302,-0.088
46,CATY,2018,"2,718,471,675",-0.202,0.358,2.302,0.131,0.017,0.021,,15.222,7.442,2.274,0.013
46,CATY,2019,"3,032,832,972",0.116,0.388,2.081,0.125,0.016,0.02,,15.23,7.492,1.551,0.029
47,HTH,2010,"560,436,035",-0.148,0.212,14.519,-0.019,-0.014,-0.004,,14.688,6.887,0.183,-28.982
47,HTH,2011,"477,431,997",-0.148,0.201,-36.332,-0.01,-0.007,-0.027,,14.877,6.972,0.072,-20.251
47,HTH,2012,"763,176,833",0.599,0.819,9.445,-0.008,-0.002,-0.003,,14.881,7.053,0.165,-15.307
47,HTH,2013,"2,009,025,517",1.632,0.355,1.209,0.099,0.015,0.025,,15.2,7.115,0.085,-7.407
47,HTH,2014,"1,799,128,666",-0.104,0.607,-13.594,0.075,0.011,0.02,,15.319,7.19,0.123,-2.841
47,HTH,2015,"1,900,773,124",0.057,0.796,11.987,0.121,0.017,0.022,,15.317,7.255,0.241,-1.759
47,HTH,2016,"2,936,463,869",0.545,1.046,-15.061,0.08,0.012,0.017,,15.311,7.313,0.54,-0.519
47,HTH,2017,"2,429,408,254",-0.173,0.897,-5.367,0.07,0.01,0.017,,15.308,7.381,1.302,-0.088
47,HTH,2018,"1,686,643,881",-0.306,0.74,4.152,0.063,0.009,0.011,,15.222,7.442,2.274,0.013
47,HTH,2019,"2,259,479,743",0.34,0.911,-4.158,0.11,0.016,0.019,,15.23,7.492,1.551,0.029
48,CBU,2010,"921,167,834",0.457,1.368,10.206,0.105,0.012,0.015,,14.688,6.887,0.183,-28.982
48,CBU,2011,"1,024,337,732",0.112,1.072,9.796,0.101,0.012,0.016,,14.877,6.972,0.072,-20.251
48,CBU,2012,"1,083,078,186",0.057,0.92,8.507,0.087,0.011,0.014,,14.881,7.053,0.165,-15.307
48,CBU,2013,"1,601,342,984",0.479,0.279,2.732,0.091,0.011,0.016,,15.2,7.115,0.085,-7.407
48,CBU,2014,"1,548,015,581",-0.033,0.446,4.048,0.095,0.012,0.018,,15.319,7.19,0.123,-2.841
48,CBU,2015,"1,641,529,047",0.06,0.354,3.765,0.087,0.011,0.017,,15.317,7.255,0.241,-1.759
48,CBU,2016,"2,742,285,616",0.671,0.207,2.014,0.085,0.012,0.019,,15.311,7.313,0.54,-0.519
48,CBU,2017,"2,720,241,759",-0.008,0.297,2.717,0.099,0.015,0.016,,15.308,7.381,1.302,-0.088
48,CBU,2018,"2,984,168,344",0.097,0.241,1.982,0.101,0.016,0.021,,15.222,7.442,2.274,0.013
48,CBU,2019,"3,667,724,983",0.229,0.186,1.752,0.093,0.015,0.021,,15.23,7.492,1.551,0.029
49,SFNC,2010,"491,081,220",0.258,0.691,7.819,0.097,0.012,0.019,,14.688,6.887,0.183,-28.982
49,SFNC,2011,"469,670,462",-0.044,0.578,15.634,0.063,0.008,0.012,,14.877,6.972,0.072,-20.251
49,SFNC,2012,"422,174,970",-0.101,0.527,6.333,0.068,0.008,0.014,,14.881,7.053,0.165,-15.307
49,SFNC,2013,"601,920,460",0.426,0.608,7.842,0.058,0.006,0.01,,15.2,7.115,0.085,-7.407
49,SFNC,2014,"732,594,747",0.217,0.497,8.086,0.079,0.008,0.012,,15.319,7.19,0.123,-2.841
49,SFNC,2015,"1,537,700,527",1.099,0.299,4.282,0.071,0.01,0.015,,15.317,7.255,0.241,-1.759
49,SFNC,2016,"1,943,462,942",0.264,0.39,6.073,0.087,0.012,0.019,,15.311,7.313,0.54,-0.519
49,SFNC,2017,"2,624,932,509",0.351,0.788,19.601,0.065,0.009,0.015,,15.308,7.381,1.302,-0.088
49,SFNC,2018,"2,227,273,634",-0.151,0.799,9.102,0.099,0.013,0.016,,15.222,7.442,2.274,0.013
49,SFNC,2019,"2,589,384,771",0.163,0.614,9.753,0.092,0.013,0.017,,15.23,7.492,1.551,0.029
50,FNLC,2010,"154,281,879",0.027,1.717,10.901,0.081,0.009,0.01,,14.688,6.887,0.183,-28.982
50,FNLC,2011,"150,705,309",-0.023,1.761,9.321,0.081,0.009,0.01,,14.877,6.972,0.072,-20.251
50,FNLC,2012,"162,285,432",0.077,1.81,12.122,0.082,0.009,0.01,,14.881,7.053,0.165,-15.307
50,FNLC,2013,"185,852,081",0.145,1.911,12.336,0.086,0.009,0.01,,15.2,7.115,0.085,-7.407
50,FNLC,2014,"193,953,328",0.044,1.733,14.141,0.093,0.01,0.011,,15.319,7.19,0.123,-2.841
50,FNLC,2015,"220,073,686",0.135,2.015,17.022,0.098,0.011,0.012,,15.317,7.255,0.241,-1.759
50,FNLC,2016,"357,204,211",0.623,1.617,14.634,0.104,0.011,0.013,,15.311,7.313,0.54,-0.519
50,FNLC,2017,"294,831,926",-0.175,1.262,11.315,0.11,0.011,0.013,,15.308,7.381,1.302,-0.088
50,FNLC,2018,"285,626,784",-0.031,1.098,6.5,0.127,0.012,0.013,,15.222,7.442,2.274,0.013
50,FNLC,2019,"329,500,561",0.154,0.87,7.555,0.124,0.013,0.014,,15.23,7.492,1.551,0.029
51,INDB,2010,"573,557,975",0.314,1.295,14.254,0.095,0.009,0.011,,14.688,6.887,0.183,-28.982
51,INDB,2011,"586,310,286",0.022,1.146,11.053,0.099,0.009,0.012,,14.877,6.972,0.072,-20.251
51,INDB,2012,"627,642,311",0.071,1.117,16.655,0.086,0.008,0.011,,14.881,7.053,0.165,-15.307
51,INDB,2013,"898,649,735",0.432,0.758,3.396,0.09,0.009,0.011,,15.2,7.115,0.085,-7.407
51,INDB,2014,"1,025,651,056",0.141,0.635,4.85,0.096,0.009,0.013,,15.319,7.19,0.123,-2.841
51,INDB,2015,"1,220,544,821",0.19,0.446,4.284,0.086,0.009,0.013,,15.317,7.255,0.241,-1.759
51,INDB,2016,"1,854,891,083",0.52,0.388,4.049,0.094,0.01,0.015,,15.311,7.313,0.54,-0.519
51,INDB,2017,"1,916,903,469",0.033,0.343,2.887,0.095,0.011,0.017,,15.308,7.381,1.302,-0.088
51,INDB,2018,"1,937,151,660",0.011,0.241,1.946,0.121,0.014,0.019,,15.222,7.442,2.274,0.013
51,INDB,2019,"2,861,615,686",0.477,0.177,1.488,0.108,0.015,0.021,,15.23,7.492,1.551,0.029
52,SSB,2010,"418,726,894",0.188,0.721,3.007,0.156,0.014,0.022,,14.688,6.887,0.183,-28.982
52,SSB,2011,"406,561,022",-0.029,0.595,1.676,0.06,0.006,0.009,,14.877,6.972,0.072,-20.251
52,SSB,2012,"607,671,632",0.495,0.578,1.81,0.069,0.007,0.01,,14.881,7.053,0.165,-15.307
52,SSB,2013,"1,601,328,946",1.635,0.319,1.371,0.064,0.007,0.012,,15.2,7.115,0.085,-7.407
52,SSB,2014,"1,619,329,446",0.011,0.328,3.032,0.077,0.009,0.015,,15.319,7.19,0.123,-2.841
52,SSB,2015,"1,742,489,561",0.076,0.324,2,0.096,0.012,0.02,,15.317,7.255,0.241,-1.759
52,SSB,2016,"2,116,724,868",0.215,0.325,3.288,0.091,0.012,0.019,,15.311,7.313,0.54,-0.519
52,SSB,2017,"2,552,995,718",0.206,0.218,2.754,0.049,0.007,0.015,,15.308,7.381,1.302,-0.088
52,SSB,2018,"2,189,799,885",-0.142,0.227,1.895,0.076,0.012,0.016,,15.222,7.442,2.274,0.013
52,SSB,2019,"2,927,123,878",0.337,0.47,6.418,0.079,0.012,0.015,,15.23,7.492,1.551,0.029
53,NTRS,2010,"13,419,967,878",0.06,1.449,20.656,0.1,0.008,0.016,,14.688,6.887,0.183,-28.982
53,NTRS,2011,"9,557,933,366",-0.288,1.051,8.472,0.086,0.006,0.013,,14.877,6.972,0.072,-20.251
53,NTRS,2012,"12,028,324,311",0.258,0.791,11.859,0.093,0.007,0.014,,14.881,7.053,0.165,-15.307
53,NTRS,2013,"14,790,709,981",0.23,0.938,16.338,0.094,0.008,0.014,,15.2,7.115,0.085,-7.407
53,NTRS,2014,"15,873,037,539",0.073,0.816,13.091,0.097,0.007,0.014,,15.319,7.19,0.123,-2.841
53,NTRS,2015,"16,668,671,715",0.05,0.93,5.781,0.109,0.008,0.015,,15.317,7.255,0.241,-1.759
53,NTRS,2016,"20,163,689,811",0.21,0.91,8.579,0.109,0.008,0.016,,15.311,7.313,0.54,-0.519
53,NTRS,2017,"22,717,096,476",0.127,1.213,9.935,0.114,0.009,0.017,,15.308,7.381,1.302,-0.088
53,NTRS,2018,"18,506,437,975",-0.185,1.339,11.15,0.146,0.011,0.019,,15.222,7.442,2.274,0.013
53,NTRS,2019,"22,510,302,884",0.216,1.063,5.916,0.133,0.011,0.019,,15.23,7.492,1.551,0.029
54,BCS,2010,"47,129,813,960",0.279,17.435,52.41,0.073,0.002,0.002,,14.688,6.887,0.183,-28.982
54,BCS,2011,"33,469,882,543",-0.29,17.875,34.557,0.056,0.002,0.002,,14.877,6.972,0.072,-20.251
54,BCS,2012,"52,823,723,087",0.578,17.739,-63.139,-0.012,0,0,,14.881,7.053,0.165,-15.307
54,BCS,2013,"55,489,736,570",0.05,12.579,-27.133,0.01,0,0.001,,15.2,7.115,0.085,-7.407
54,BCS,2014,"60,465,197,835",0.09,11.887,-65.859,-0.003,0,0,,15.319,7.19,0.123,-2.841
54,BCS,2015,"53,454,116,704",-0.116,8.547,37.046,-0.007,0,0,,15.317,7.255,0.241,-1.759
54,BCS,2016,"46,212,660,860",-0.135,8.204,53.558,0.026,0.001,0.002,,15.311,7.313,0.54,-0.519
54,BCS,2017,"45,792,545,761",-0.009,8.227,8.83,-0.03,-0.002,0,,15.308,7.381,1.302,-0.088
54,BCS,2018,"31,676,678,444",-0.308,8.59,63.187,0.026,0.001,0.002,,15.222,7.442,2.274,0.013
54,BCS,2019,"40,776,078,956",0.287,8.139,-233.177,0.037,0.002,0.002,,15.23,7.492,1.551,0.029
55,BAC,2010,1.35E+11,0.03266,3.302,9.242,-0.016,-0.002,0,-0.26388,14.688,6.887,0.183,-28.982
55,BAC,2011,56355447286,-0.58111,2.707,9.864,0,0,0,-0.04023,14.877,6.972,0.072,-20.251
55,BAC,2012,1.25E+11,1.22043,2.53,-37.354,0.012,0.001,0.001,-0.05371,14.881,7.053,0.165,-15.307
55,BAC,2013,1.66E+11,0.32716,2.122,5.32,0.043,0.005,0.007,-0.05743,15.2,7.115,0.085,-7.407
55,BAC,2014,1.88E+11,0.13288,1.953,15.444,0.019,0.002,0.004,0.08563,15.319,7.19,0.123,-2.841
55,BAC,2015,1.75E+11,-0.06855,1.714,15.465,0.057,0.007,0.01,-0.04963,15.317,7.255,0.241,-1.759
55,BAC,2016,2.23E+11,0.27436,1.544,23.792,0.061,0.007,0.012,0.02837,15.311,7.313,0.54,-0.519
55,BAC,2017,3.08E+11,0.37878,1.636,44.296,0.062,0.007,0.013,0.03721,15.308,7.381,1.302,-0.088
55,BAC,2018,2.42E+11,-0.21464,1.645,11.047,0.101,0.011,0.015,0.07279,15.222,7.442,2.274,0.013
55,BAC,2019,3.17E+11,0.31009,1.624,6.963,0.097,0.011,0.014,0.09713,15.23,7.492,1.551,0.029
56,WFC,2010,1.63E+11,0.28635,1.68,11.314,0.096,0.009,0.014,-0.14708,14.688,6.887,0.183,-28.982
56,WFC,2011,1.45E+11,-0.10648,1.244,12.766,0.11,0.012,0.017,0.00597,14.877,6.972,0.072,-20.251
56,WFC,2012,1.80E+11,0.23803,1.171,3.153,0.119,0.013,0.02,0.02058,14.881,7.053,0.165,-15.307
56,WFC,2013,2.39E+11,0.3291,1.216,3.589,0.126,0.014,0.022,0.02174,15.2,7.115,0.085,-7.407
56,WFC,2014,2.84E+11,0.18916,1.342,14.117,0.121,0.013,0.021,0.03357,15.319,7.19,0.123,-2.841
56,WFC,2015,2.78E+11,-0.02365,1.539,18.679,0.112,0.012,0.019,0.04881,15.317,7.255,0.241,-1.759
56,WFC,2016,2.77E+11,-0.00318,1.763,349.065,0.102,0.011,0.017,0.04714,15.311,7.313,0.54,-0.519
56,WFC,2017,2.99E+11,0.0794,1.586,17.631,0.1,0.011,0.014,0.04341,15.308,7.381,1.302,-0.088
56,WFC,2018,2.17E+11,-0.27395,1.707,9.282,0.103,0.011,0.014,0.07195,15.222,7.442,2.274,0.013
56,WFC,2019,2.28E+11,0.04901,1.778,49.436,0.093,0.009,0.012,0.12243,15.23,7.492,1.551,0.029
